shape,PyTorch (cuBLAS) (TFLOP/s),Triton TMA tiled (SM90 pipeline) (TFLOP/s),Triton TMA persistent (SM90 pipeline) (TFLOP/s),TLX persistent WS (TFLOP/s),Gluon persistent WS (TFLOP/s)
129x127x131,0.529135,0.088773,0.079843,0.060531,0.073945
512x512x512,34.379542,30.840470,30.954273,27.147599,25.266892
1024x1024x1024,213.044005,181.866847,184.365008,165.700899,154.628724
