suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_ms,decompose_k_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
matmul-bf16,16,16,8192,bfloat16,0.01244799979031086,0.010111999697983265,0.009375999681651592,0.009216000325977802,1.3276450739083356,1.0784982979225128,1.3506943739165014,1.0972221506416233,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_508,128,16,16,64
matmul-bf16,16,16,12288,bfloat16,0.012256000190973282,0.010400000028312206,0.009344000369310379,0.008895999751985073,1.3116438042133574,1.1130136576695966,1.3776979016032966,1.1690647839768125,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_528,96,16,16,128
matmul-bf16,16,16,16384,bfloat16,0.012095999903976917,0.010143999941647053,0.009600000455975533,0.009600000455975533,1.2599999301508102,1.0566666103992637,1.2599999301508102,1.0566666103992637,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_544,256,16,16,64
matmul-bf16,16,16,20480,bfloat16,0.012927999719977379,0.01065600011497736,0.009983999654650688,0.009600000455975533,1.2948718116146303,1.067307740742323,1.3466665735344137,1.1099999592546392,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_562,160,16,16,128
matmul-bf16,16,16,24576,bfloat16,0.012959999963641167,0.010912000201642513,0.0098879998549819,0.009824000298976898,1.3106796271959382,1.1035599071276978,1.3192181971931394,1.1107491723894718,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_582,192,16,16,64
matmul-bf16,16,16,28672,bfloat16,0.013311999849975109,0.01119999960064888,0.010367999784648418,0.010143999941647053,1.28395062948263,1.0802468975001696,1.3123028318761678,1.1041009133553255,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_601,224,16,16,64
matmul-bf16,16,16,32768,bfloat16,0.013183999806642532,0.011071999557316303,0.010208000428974628,0.010239999741315842,1.2915359769402788,1.0846394094860419,1.2875000136424208,1.0812499840838423,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_618,256,16,16,128
matmul-bf16,32,32,8192,bfloat16,0.012512000277638435,0.01033599954098463,0.00979200005531311,0.009631999768316746,1.277777798913457,1.0555555027163575,1.2990033823292946,1.0730896791529838,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_632,32,16,16,64
matmul-bf16,32,32,12288,bfloat16,0.012703999876976013,0.011008000001311302,0.010111999697983265,0.009824000298976898,1.2563291392808977,1.0886076275800063,1.2931595572425876,1.1205211386707419,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_652,48,16,16,64
matmul-bf16,32,32,16384,bfloat16,0.012799999676644802,0.010975999757647514,0.010463999584317207,0.010239999741315842,1.2232416079057042,1.0489296821167369,1.25,1.0718750034106053,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_667,64,16,16,64
matmul-bf16,32,32,20480,bfloat16,0.013535999692976475,0.011455999687314034,0.011071999557316303,0.01065600011497736,1.2225433737514897,1.0346820940526489,1.2702702277518916,1.0750750341314512,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_686,80,16,16,64
matmul-bf16,32,32,24576,bfloat16,0.01375999953597784,0.011807999573647976,0.011359999887645245,0.010975999757647514,1.2112675767666825,1.0394365924677482,1.2536443002734743,1.0758017341810495,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_706,96,16,16,64
matmul-bf16,32,32,28672,bfloat16,0.013824000023305416,0.011776000261306763,0.011711999773979187,0.011136000044643879,1.1803278936205674,1.005464522589026,1.241379307460976,1.0574712835934934,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_724,112,16,16,64
matmul-bf16,32,32,32768,bfloat16,0.014271999709308147,0.011935999616980553,0.011615999974310398,0.011552000418305397,1.228650115433168,1.027548178665449,1.2354569938114455,1.0332409266594786,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_742,128,16,16,64
matmul-bf16,48,48,8192,bfloat16,0.013024000450968742,0.011008000001311302,0.010463999584317207,0.010015999898314476,1.244648410583684,1.0519878094996686,1.3003195470439712,1.0990415448350557,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_756,32,16,16,64
matmul-bf16,48,48,12288,bfloat16,0.01321600005030632,0.011807999573647976,0.011136000044643879,0.010688000358641148,1.1867816089550813,1.0603447850493959,1.236526909322314,1.1047903421991672,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_774,48,16,16,64
matmul-bf16,48,48,16384,bfloat16,0.013344000093638897,0.011776000261306763,0.011455999687314034,0.011264000087976456,1.1648045092403039,1.0279330117603867,1.1846590899695302,1.0454545604875156,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_791,32,16,16,64
matmul-bf16,48,48,20480,bfloat16,0.013791999779641628,0.012128000147640705,0.011776000261306763,0.011552000418305397,1.1711956074728511,1.0298912940321965,1.1939057548670713,1.049861470609244,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_810,40,16,16,64
matmul-bf16,48,48,24576,bfloat16,0.014047999866306782,0.012671999633312225,0.012223999947309494,0.011935999616980553,1.14921465370251,1.0366491891307097,1.1769437262985185,1.061662201738396,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_828,48,16,16,64
matmul-bf16,48,48,28672,bfloat16,0.014431999996304512,0.012992000207304955,0.01244799979031086,0.012191999703645706,1.1593830526521969,1.0437018337209105,1.1837270625908063,1.0656168408058628,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_848,56,16,16,64
matmul-bf16,48,48,32768,bfloat16,0.0144640002399683,0.012992000207304955,0.012640000320971012,0.012671999633312225,1.1443037873955662,1.0278480915661006,1.1414141933799662,1.0252525712793985,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_865,64,64,32,128
matmul-bf16,64,64,8192,bfloat16,0.012927999719977379,0.011392000131309032,0.010816000401973724,0.010463999584317207,1.1952662018779374,1.0532544108661643,1.2354740284348884,1.0886850710872213,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_879,32,64,32,64
matmul-bf16,64,64,12288,bfloat16,0.013279999606311321,0.01206399966031313,0.01152000017464161,0.011168000288307667,1.152777726127462,1.0472221768597711,1.1891116819019796,1.0802291680582716,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_899,48,64,32,64
matmul-bf16,64,64,16384,bfloat16,0.01360000018030405,0.012543999589979649,0.01196799986064434,0.011711999773979187,1.1363636646609925,1.048128320190697,1.1612022235963047,1.071038237026689,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_915,32,64,32,128
matmul-bf16,64,64,20480,bfloat16,0.014336000196635723,0.012640000320971012,0.012191999703645706,0.012095999903976917,1.175853063082745,1.0367454583509663,1.1851852108499388,1.044973579804282,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_933,32,64,32,128
matmul-bf16,64,64,24576,bfloat16,0.014047999866306782,0.013151999562978745,0.012608000077307224,0.012512000277638435,1.1142131805337923,1.0431471670634465,1.1227621127385603,1.0511508368876974,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_952,48,64,32,64
matmul-bf16,64,64,28672,bfloat16,0.014879999682307243,0.013887999579310417,0.013376000337302685,0.012927999719977379,1.1124401395841954,1.0382774543283975,1.1509900993665305,1.074257416470204,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_972,56,64,32,64
matmul-bf16,64,64,32768,bfloat16,0.014944000169634819,0.013887999579310417,0.013632000423967838,0.013632000423967838,1.0962441098050597,1.01877928017758,1.0962441098050597,1.01877928017758,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_988,32,64,32,128
