suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_ms,decompose_k_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
matmul-fp32,16,16,8192,float32,0.016095999628305435,0.014208000153303146,0.009808000177145004,0.009696000255644321,1.641109230994202,1.4486133663018481,1.6600659244965974,1.46534651182917,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1501,128,16,16,64
matmul-fp32,16,16,12288,float32,0.017263999208807945,0.014336000196635723,0.010816000401973724,0.010304000228643417,1.5961537136830706,1.3254437559025667,1.6754657245461702,1.3913043360367958,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1520,96,16,16,64
matmul-fp32,16,16,16384,float32,0.018015999346971512,0.014560000039637089,0.011136000044643879,0.010528000071644783,1.617816026827041,1.3074712626855693,1.7112461269348076,1.3829787177577773,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1536,256,16,16,64
matmul-fp32,16,16,20480,float32,0.019328000023961067,0.018144000321626663,0.014047999866306782,0.011327999643981457,1.375854228922512,1.2915717891729108,1.7062147450039862,1.601694993984797,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1556,80,16,16,64
matmul-fp32,16,16,24576,float32,0.020287999883294106,0.018239999189972878,0.014976000413298607,0.011552000418305397,1.354700809521778,1.2179486302481575,1.7562326132836328,1.5789472411262746,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1575,96,16,16,64
matmul-fp32,16,16,28672,float32,0.021344000473618507,0.019071999937295914,0.016127999871969223,0.011776000261306763,1.3234127382847265,1.1825396880392727,1.8125,1.6195651761287857,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1594,112,16,16,64
matmul-fp32,16,16,32768,float32,0.021888000890612602,0.01953599974513054,0.014720000326633453,0.012160000391304493,1.4869565492474761,1.3271738662792905,1.800000015317805,1.6065788747096224,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1611,128,16,16,64
matmul-fp32,32,32,8192,float32,0.016575999557971954,0.01571200042963028,0.010623999871313572,0.010912000201642513,1.5602409411477587,1.4789157210040156,1.5190615149985862,1.439882710711942,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1625,128,16,16,64
matmul-fp32,32,32,12288,float32,0.0180479995906353,0.016063999384641647,0.011711999773979187,0.01206399966031313,1.5409836013430385,1.3715846733818589,1.4960212283499725,1.3315649732225452,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1644,32,16,16,64
matmul-fp32,32,32,16384,float32,0.018783999606966972,0.018880000337958336,0.012256000190973282,0.012191999703645706,1.5326370197678076,1.5404699774616293,1.5406824199109928,1.5485564958070621,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1660,256,32,32,64
matmul-fp32,32,32,20480,float32,0.020128000527620316,0.01852799952030182,0.01651199907064438,0.013120000250637531,1.2189923486251033,1.1220930573598176,1.5341463523708583,1.4121950584110317,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1680,128,16,16,32
matmul-fp32,32,32,24576,float32,0.02143999934196472,0.01881599985063076,0.016256000846624374,0.01360000018030405,1.318897528626595,1.1574802454896513,1.5764705189500516,1.3835293824393242,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1699,128,16,16,32
matmul-fp32,32,32,28672,float32,0.022624000906944275,0.019392000511288643,0.016607999801635742,0.014175999909639359,1.3622351383166569,1.1676301025352072,1.5959368687326576,1.3679458687145252,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1718,128,16,16,32
matmul-fp32,32,32,32768,float32,0.022816000506281853,0.020864000543951988,0.017823999747633934,0.015168000012636185,1.280071859814214,1.1705566000539023,1.5042194414078494,1.3755274608762242,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1735,256,16,16,32
matmul-fp32,48,48,8192,float32,0.017263999208807945,0.01587199978530407,0.013279999606311321,0.012768000364303589,1.2999999789610859,1.1951807421561143,1.3521302252680178,1.2431077171393692,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1749,128,32,64,64
matmul-fp32,48,48,12288,float32,0.01897599920630455,0.016448000445961952,0.014399999752640724,0.013663999736309052,1.3177777452964652,1.1422222728125853,1.3887587509153734,1.2037471284674455,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1768,48,16,16,32
matmul-fp32,48,48,16384,float32,0.01958400011062622,0.01711999997496605,0.015168000012636185,0.015296000055968761,1.2911392467240999,1.1286919805316251,1.2803347305810324,1.1192468561926772,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1784,128,16,16,32
matmul-fp32,48,48,20480,float32,0.021568000316619873,0.021568000316619873,0.01616000011563301,0.016063999384641647,1.3346534753892247,1.3346534753892247,1.3426295532132833,1.3426295532132833,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1803,80,16,16,32
matmul-fp32,48,48,24576,float32,0.023072000592947006,0.022336000576615334,0.020864000543951988,0.01692800037562847,1.1058282204481187,1.0705521469654125,1.3629489650865176,1.3194707042169525,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1823,96,16,16,32
matmul-fp32,48,48,28672,float32,0.024191999807953835,0.02412799932062626,0.024288000538945198,0.017791999503970146,0.996047400820935,0.9934123347015584,1.3597122573297946,1.356115107537086,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1842,112,16,16,32
matmul-fp32,48,48,32768,float32,0.02412799932062626,0.024191999807953835,0.02223999984562397,0.019360000267624855,1.08489206331419,1.0877697830881032,1.2462809394158318,1.2495867496659794,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1859,128,16,16,32
matmul-fp32,64,64,8192,float32,0.017952000722289085,0.0163199994713068,0.013439999893307686,0.013311999849975109,1.3357143500594897,1.214285684587928,1.3485577617642965,1.2259615125624657,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1873,128,32,64,64
matmul-fp32,64,64,12288,float32,0.019551999866962433,0.017023999243974686,0.014688000082969666,0.014527999795973301,1.3311546675188572,1.1590413363160004,1.3458149877164525,1.1718061318181734,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1892,128,64,64,32
matmul-fp32,64,64,16384,float32,0.020128000527620316,0.01788800023496151,0.01548799965530634,0.015584000386297703,1.2995868398488934,1.1549587185607217,1.2915811106702708,1.1478439291293658,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1908,128,64,64,32
matmul-fp32,64,64,20480,float32,0.0225600004196167,0.0225600004196167,0.017023999243974686,0.017023999243974686,1.3251880534241314,1.3251880534241314,1.3251880534241314,1.3251880534241314,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1927,128,32,64,32
matmul-fp32,64,64,24576,float32,0.02412799932062626,0.023423999547958374,0.021056000143289566,0.01788800023496151,1.1458966164718478,1.112461977039997,1.34883715360585,1.3094811739870695,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1947,128,32,64,32
matmul-fp32,64,64,28672,float32,0.025439999997615814,0.02409599907696247,0.02284800074994564,0.019039999693632126,1.1134453415000147,1.054621773724329,1.336134475155698,1.2655461903721201,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1966,128,32,64,32
matmul-fp32,64,64,32768,float32,0.02537599951028824,0.0244159996509552,0.02377600036561489,0.019936000928282738,1.0672947140002271,1.026917869931811,1.272873110388348,1.2247190265885668,static_mm_fused_autotune,decompose_k_impl,256,static_mm_fused_autotune_decompose_k_impl_k_splits__256_1983,128,64,64,32
