suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_ms,decompose_k_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
matmul-fp16,16,16,8192,float16,0.01244799979031086,0.01017600018531084,0.00940799992531538,0.008927999995648861,1.3231292399158443,1.0816326813448307,1.3942652101677309,1.139784967548186,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1004,32,16,16,128
matmul-fp16,16,16,12288,float16,0.012032000347971916,0.01027199998497963,0.00940799992531538,0.009216000325977802,1.278911611765194,1.0918367417647792,1.3055555471343085,1.1145832922797545,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1023,96,16,16,64
matmul-fp16,16,16,16384,float16,0.012480000033974648,0.010495999827980995,0.009631999768316746,0.009600000455975533,1.2956810978158493,1.0897010050297415,1.2999999417923418,1.0933332634841435,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1039,256,16,16,64
matmul-fp16,16,16,20480,float16,0.012992000207304955,0.010751999914646149,0.009824000298976898,0.009600000455975533,1.3224755508871453,1.0944624987201899,1.3533332906477173,1.1199999379118313,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1059,160,16,16,64
matmul-fp16,16,16,24576,float16,0.012927999719977379,0.01104000024497509,0.010304000228643417,0.00979200005531311,1.2546583300764762,1.0714285714285714,1.3202614018535146,1.1274509990412855,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1077,192,16,16,128
matmul-fp16,16,16,28672,float16,0.013407999649643898,0.011231999844312668,0.010623999871313572,0.010111999697983265,1.2620481750802306,1.0572289138143525,1.325949372043394,1.1107595114498248,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1096,224,16,16,64
matmul-fp16,16,16,32768,float16,0.01321600005030632,0.011055999901145697,0.010591999627649784,0.010463999584317207,1.247734187585009,1.0438066738866443,1.2629969968761887,1.0565749560727948,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1114,256,16,16,64
matmul-fp16,32,32,8192,float16,0.012480000033974648,0.010623999871313572,0.009952000342309475,0.009664000011980534,1.2540192528850458,1.0675240661063072,1.291390730391463,1.099337733665451,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_1127,32,16,16,128
matmul-fp16,32,32,12288,float16,0.012736000120639801,0.010623999871313572,0.010304000228643417,0.010015999898314476,1.2360248290014422,1.0310558652532449,1.271565520161702,1.0607028733198582,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1148,96,16,16,64
matmul-fp16,32,32,16384,float16,0.012896000407636166,0.010912000201642513,0.010400000028312206,0.010304000228643417,1.2400000358200989,1.0492307857631227,1.251552806820347,1.0590062072503605,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1164,64,16,16,64
matmul-fp16,32,32,20480,float16,0.013535999692976475,0.011296000331640244,0.011103999800980091,0.010367999784648418,1.2190201671096683,1.0172911143823333,1.305555553060371,1.0895062274563208,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1182,80,16,16,64
matmul-fp16,32,32,24576,float16,0.013504000380635262,0.011648000217974186,0.01152000017464161,0.010944000445306301,1.1722222374927502,1.0111111147041765,1.233918113227682,1.0643274619903564,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1201,96,16,16,64
matmul-fp16,32,32,28672,float16,0.013791999779641628,0.011839999817311764,0.01152000017464161,0.011136000044643879,1.1972221849441684,1.0277777463384552,1.2385057223733773,1.0632183701369946,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1221,112,16,16,64
matmul-fp16,32,32,32768,float16,0.014271999709308147,0.012128000147640705,0.011615999974310398,0.011552000418305397,1.228650115433168,1.0440771500053918,1.2354569938114455,1.049861470609244,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1238,128,16,16,64
matmul-fp16,48,48,8192,float16,0.013024000450968742,0.010944000445306301,0.010751999914646149,0.010143999941647053,1.2113095753681808,1.0178571923534536,1.283911723766638,1.0788644034169184,static_mm_fused_autotune,decompose_k_impl,16,static_mm_fused_autotune_decompose_k_impl_k_splits__16_1250,32,16,16,64
matmul-fp16,48,48,12288,float16,0.013151999562978745,0.011648000217974186,0.011103999800980091,0.010688000358641148,1.1844380222177135,1.0489913928984471,1.230538839975382,1.0898203431062656,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1271,48,16,16,64
matmul-fp16,48,48,16384,float16,0.013311999849975109,0.011680000461637974,0.01152000017464161,0.011231999844312668,1.1555555250144993,1.0138889135912137,1.1851851882561815,1.0398860954002018,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1287,32,16,16,64
