shape,PyTorch (cuBLAS) (Latency (ms)),Triton TMA tiled (SM90 pipeline) (Latency (ms)),Triton TMA persistent (SM90 pipeline) (Latency (ms)),TLX persistent WS (Latency (ms)),Gluon persistent WS (Latency (ms))
256x256x256,0.006624,0.007040,0.007264,0.008448,0.008864
512x512x512,0.007712,0.008672,0.008512,0.009728,0.010464
1024x1024x1024,0.009856,0.011488,0.011456,0.012800,0.013792
2048x2048x2048,0.028928,0.029376,0.029216,0.029472,0.032672
4096x4096x4096,0.197248,0.207680,0.205568,0.207696,0.230288
1024x4096x4096,0.050624,0.051168,0.050336,0.050624,0.056640
4096x1024x4096,0.050080,0.051424,0.050272,0.050432,0.057536
4096x11008x4096,0.576688,0.602400,0.565696,0.585920,0.652832
4096x4096x11008,0.569232,0.580352,0.543568,0.562944,0.643120
