suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_ms,decompose_k_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
matmul-bf16,16,16,8192,bfloat16,0.01190400030463934,0.009727999567985535,0.008927999995648861,0.009535999968647957,1.3333333681049349,1.089605686909337,1.2483221837014251,1.0201341862383415,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_508,32,16,16,128
matmul-bf16,16,16,12288,bfloat16,0.011935999616980553,0.009983999654650688,0.009056000038981438,0.009920000098645687,1.3180211534454718,1.1024734553527704,1.2032257558757582,1.0064515680815103,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_528,48,16,16,128
matmul-bf16,16,16,16384,bfloat16,0.012095999903976917,0.01017600018531084,0.009247999638319016,0.01033599954098463,1.3079585182786162,1.1003460838327308,1.1702786804520915,0.9845201854896224,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_544,32,16,16,128
matmul-bf16,16,16,20480,bfloat16,0.012512000277638435,0.010623999871313572,0.009727999567985535,0.010623999871313572,1.2861842961851004,1.092105298429159,1.1777108837720107,1.0,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_563,40,16,16,128
matmul-bf16,16,16,24576,bfloat16,0.012640000320971012,0.010623999871313572,0.010015999898314476,0.011008000001311302,1.2619808755287738,1.0607028733198582,1.1482558429746823,0.965116267264536,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_581,48,16,16,128
matmul-bf16,16,16,28672,bfloat16,0.012959999963641167,0.01071999967098236,0.010208000428974628,0.011296000331640244,1.26959241957467,1.0501566634494315,1.1473087449670163,0.9490084415946326,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_600,56,16,16,128
matmul-bf16,16,16,32768,bfloat16,0.012896000407636166,0.010879999957978725,0.01017600018531084,0.011487999930977821,1.2672956144646768,1.069182366337229,1.1225627163229361,0.9470752109460236,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_618,64,16,16,128
matmul-bf16,32,32,8192,bfloat16,0.012000000104308128,0.010080000385642052,0.009440000168979168,0.010015999898314476,1.2711864289728922,1.0677966319074856,1.1980830896701113,1.0063898250776087,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_632,32,16,16,128
matmul-bf16,32,32,12288,bfloat16,0.012512000277638435,0.010400000028312206,0.009855999611318111,0.010688000358641148,1.269480597713327,1.0551948496801271,1.1706586693293475,0.9730538622132346,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_651,24,16,16,128
matmul-bf16,32,32,16384,bfloat16,0.012671999633312225,0.010847999714314938,0.010432000271975994,0.010944000445306301,1.2147238595606304,1.0398772461170716,1.1578946562220795,0.9912280037385656,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_667,32,16,16,128
