suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_relu_ms,decompose_k_unfused_ms,decompose_k_fused_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_fused_speedup_vs_eager,decompose_k_fused_speedup_vs_compiled,decompose_k_fused_vs_unfused_speedup,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
epilogue-bf16,16,16,8192,bfloat16,0.015104000456631184,0.011648000217974186,0.008927999995648861,0.011935999616980553,0.009503999724984169,1.6917563243718918,1.304659523258394,1.5892256832589862,1.2255892839889142,1.255892251932955,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_13,32,16,16,128
epilogue-bf16,16,16,12288,bfloat16,0.01583999954164028,0.012160000391304493,0.009056000038981438,0.01235199999064207,0.009903999976813793,1.749116549630875,1.3427562211751243,1.5993537539098575,1.2277867952112491,1.2471728614256137,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_31,48,16,16,128
epilogue-bf16,16,16,16384,bfloat16,0.014399999752640724,0.013504000380635262,0.009216000325977802,0.012959999963641167,0.010304000228643417,1.5624999178928423,1.4652777672512192,1.397515472933619,1.3105590140707075,1.2577639437171702,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_47,32,16,16,128
epilogue-bf16,16,16,20480,bfloat16,0.016224000602960587,0.012799999676644802,0.009631999768316746,0.013088000006973743,0.010623999871313572,1.6843854851748854,1.3289036528788958,1.5271085089870788,1.2048192612658781,1.2319277264218864,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_66,40,16,16,128
epilogue-bf16,16,16,24576,bfloat16,0.0163199994713068,0.01414399966597557,0.009727999567985535,0.014655999839305878,0.010975999757647514,1.6776315991023765,1.453947398653565,1.4868804511348372,1.2886297356303016,1.3352769827727382,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_86,48,16,16,128
epilogue-bf16,16,16,28672,bfloat16,0.016607999801635742,0.01414399966597557,0.010048000141978264,0.013952000066637993,0.011359999887645245,1.6528661989415474,1.407643258969031,1.461971827983735,1.245070405445876,1.2281690320975902,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_105,56,16,16,128
epilogue-bf16,16,16,32768,bfloat16,0.015359999611973763,0.014240000396966934,0.010015999898314476,0.013952000066637993,0.011455999687314034,1.533546302706991,1.4217252936836877,1.3407821256300207,1.2430168283555214,1.217877134030297,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_122,32,16,16,128
epilogue-bf16,32,32,8192,bfloat16,0.014336000196635723,0.013439999893307686,0.00940799992531538,0.012240000069141388,0.009983999654650688,1.5238095568070642,1.4285714285714286,1.4358975052606109,1.3461538820313503,1.225961587793107,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_136,32,16,16,128
epilogue-bf16,32,32,12288,bfloat16,0.01484800036996603,0.013887999579310417,0.010304000228643417,0.013024000450968742,0.01071999967098236,1.4409937927496395,1.3478260162207756,1.3850747038880633,1.2955223885783709,1.214925452490732,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_154,24,16,16,128
epilogue-bf16,32,32,16384,bfloat16,0.01711999997496605,0.014208000153303146,0.01033599954098463,0.014368000440299511,0.011008000001311302,1.656346820361329,1.3746130789736528,1.5552325556801117,1.2906976881913745,1.3052325979821908,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_172,32,16,16,128
