shape,PyTorch (cuBLAS) (TFLOP/s),Triton TMA tiled (compiler WS) (TFLOP/s),Triton TMA persistent (compiler WS) (TFLOP/s),TLX persistent TCGen5/TMEM WS (TFLOP/s),Gluon auto TCGen5/TMEM WS (TFLOP/s)
256x256x256,5.433036,1.175534,1.091130,0.855282,0.796790
512x512x512,32.640497,9.162871,8.338577,6.710887,6.255487
1024x1024x1024,209.061882,69.327340,63.250576,51.052768,48.735558
2048x2048x2048,930.452142,493.447521,432.263205,383.205516,358.870935
4096x4096x4096,1427.373600,1082.128268,1288.232539,1316.666890,1399.012106
1024x4096x4096,1194.373583,841.490422,882.285838,745.654033,713.449693
4096x1024x4096,1193.046492,882.285838,844.136639,745.136573,684.347899
4096x11008x4096,1431.389472,1033.275851,1261.086475,1278.688949,1490.345320
4096x4096x11008,1430.502455,1024.653730,1210.436729,1261.224302,1345.462728
