shape,Gluon auto TCGen5/TMEM WS (Latency (ms)),Gluon one-CTA TCGen5/TMEM WS (Latency (ms)),Gluon two-CTA multicast TCGen5/TMEM WS (Latency (ms))
256x256x256,0.043584,0.041120,0.055776
512x512x512,0.042432,0.040832,0.057184
1024x1024x1024,0.046112,0.044032,0.058400
2048x2048x2048,0.047936,0.046080,0.061472
4096x4096x4096,0.094336,0.110528,0.104480
1024x4096x4096,0.048128,0.047136,0.061472
4096x1024x4096,0.050016,0.048160,0.063520
4096x11008x4096,0.258112,0.295072,0.264240
4096x4096x11008,0.286880,0.319392,0.296832
