shape,PyTorch (cuBLAS) (Latency (ms)),Triton TMA tiled (compiler WS) (Latency (ms)),Triton TMA persistent (compiler WS) (Latency (ms)),TLX persistent TCGen5/TMEM WS (Latency (ms)),Gluon auto TCGen5/TMEM WS (Latency (ms))
256x256x256,0.006272,0.028256,0.031504,0.038720,0.041536
512x512x512,0.008256,0.029344,0.032928,0.039008,0.041760
1024x1024x1024,0.010272,0.029920,0.033280,0.040992,0.043040
2048x2048x2048,0.018528,0.033824,0.036832,0.044064,0.046848
4096x4096x4096,0.100352,0.131136,0.110784,0.112720,0.104640
1024x4096x4096,0.030816,0.039072,0.037920,0.045056,0.046944
4096x1024x4096,0.030752,0.039008,0.037920,0.045088,0.047136
4096x11008x4096,0.270368,0.366032,0.305216,0.305088,0.264224
4096x4096x11008,0.276448,0.366784,0.317504,0.311328,0.293056
