shape,PyTorch (cuBLAS) (TFLOP/s),Triton TMA tiled (SM90 pipeline) (TFLOP/s),Triton TMA persistent (SM90 pipeline) (TFLOP/s),TLX persistent WS (TFLOP/s),Gluon persistent WS (TFLOP/s)
256x256x256,4.899888,4.723315,4.519724,3.855059,3.653575
512x512x512,34.379542,30.840470,30.954273,27.235741,25.040622
1024x1024x1024,214.405318,183.859894,185.383607,164.886638,153.919412
2048x2048x2048,601.873232,586.103622,594.541426,590.617068,528.936836
4096x4096x4096,747.731080,677.439653,687.524797,680.768306,607.577792
1024x4096x4096,694.080032,685.658870,698.141649,697.234965,615.677648
4096x1024x4096,703.631612,677.439653,696.330633,697.688013,604.924967
4096x11008x4096,668.349156,617.142499,638.460361,642.011500,592.390264
4096x4096x11008,711.942561,703.438621,706.020185,669.764708,591.752518
