shape,Gluon auto TCGen5/TMEM WS (TFLOP/s),Gluon one-CTA TCGen5/TMEM WS (TFLOP/s),Gluon two-CTA multicast TCGen5/TMEM WS (TFLOP/s)
256x256x256,0.772147,0.833526,0.628831
512x512x512,6.432981,6.605203,4.882775
1024x1024x1024,48.735558,51.150050,38.108383
2048x2048x2048,358.870935,391.305338,284.359585
4096x4096x4096,1398.556547,1292.886034,1315.860102
1024x4096x4096,728.948944,762.059482,568.719169
4096x1024x4096,728.454402,779.768931,578.524675
4096x11008x4096,1466.301336,1302.496577,1465.556637
4096x4096x11008,1260.535598,1219.001477,1335.499721
