N,K,matmul_kernel_grouped,matmul_kernel_grouped_splitk,matmul_kernel_col_major
512.0,512.0,0.4,0.3,0.4
1024.0,1024.0,1.3,0.9,1.6
2048.0,2048.0,5.0,3.9,5.3
4096.0,4096.0,9.5,10.7,9.5
8192.0,8192.0,18.0,17.3,18.1
16384.0,16384.0,23.1,22.9,23.1
