N,K,matmul_kernel_grouped,matmul_kernel_grouped_splitk,matmul_kernel_col_major
512.0,512.0,0.1,0.0,0.1
1024.0,1024.0,0.2,0.1,0.2
2048.0,2048.0,0.6,0.5,0.6
4096.0,4096.0,1.1,1.3,1.1
8192.0,8192.0,2.0,2.2,2.0
16384.0,16384.0,2.9,2.9,2.9
