N,K,matmul_kernel_grouped,matmul_kernel_grouped_splitk,matmul_kernel_col_major
512.0,512.0,0.1,0.1,0.1
1024.0,1024.0,0.3,0.3,0.4
2048.0,2048.0,1.2,0.9,1.3
4096.0,4096.0,2.3,2.7,2.3
8192.0,8192.0,4.2,4.4,4.3
16384.0,16384.0,5.8,5.7,5.8
